Rang;Type de document;Nombre de recherches;Titre;Auteur
293;Livre adulte;52;Le nom du vent : chronique du tueur de roi : première journée;Rothfuss, Patrick
294;Livre ado;52;Mad dogs;Muchamore, Robert
295;Livre adulte;52;Life;Richards, Keith
296;DVD tous publics;52;Potiche [Images animées];
297;DVD tous publics;52;Mad men. Intégrale saison 3 [Images animées];
298;Livre jeunesse;52;Lune de printemps;Audouin-Mamikonian, Sophie
299;Bande dessinée jeunesse;52;Inazuma eleven. 2;Yabuno, Tenya
300;Nouveauté;52;On peut se dire au revoir plusieurs fois;Servan-Schreiber, David
301;Livre adulte;52;Saga parisienne. 2. 1959-1981 : d'une rive à l'autre;Schlesser, Gilles
302;CD adulte;52;25 ans de Radio Nova [enregistrement sonore];
303;Nouveauté;52;Le palais de minuit [Texte imprimé];Ruiz Zafón, Carlos
304;DVD tous publics;52;Le cochon de Gaza [Images animées];
305;;52;Les anges de New York;Ellory, Roger Jon
306;Livre adulte;52;Berlin [Texte imprimé] : 2012;Gloaguen, Philippe
307;Numérique et multimédia adulte;52;Liseuse Booken [Ressource électronique];
308;Nouveauté;52;Une semaine de vacances;Angot, Christine
309;Nouveauté;52;La théorie de l'information : roman;Bellanger, Aurélien
310;;52;Oh... : roman;Djian, Philippe
311;;52;14;Echenoz, Jean
312;Livre ado;51;No pasaran, le jeu [Texte imprimé];Lehmann, Christian
313;Livre sonore adulte;51;Jacques Prévert [Enregistrement sonore] : 100 ans;Poulanges, Alain
314;Livre jeunesse;51;Retour à l'état sauvage [Texte imprimé];Hunter, Erin
315;Livre adulte;51;Le meilleur des mondes [Texte imprimé];Huxley, Aldous
316;Livre jeunesse;51;Harry Potter et les reliques de la mort [Texte imprimé];Rowling, Joanne Kathleen
317;Livre adulte;51;Les corrections [Texte imprimé];Franzen, Jonathan
318;Livre jeunesse;51;Le combat de l'épouvanteur [Texte imprimé];Delaney, Joseph
319;Livre adulte;51;Romans extraordinaires [Texte imprimé];Barjavel, René
320;Bande dessinée adulte;51;Pyongyang [Texte imprimé];Delisle, Guy
321;Livre adulte;51;L'amour dure trois ans [Texte imprimé];Beigbeder, Frédéric
322;Livre adulte;51;Thaïlande : îles et plages;
323;Livre adulte;51;La vie très privée de Mr Sim : roman;Coe, Jonathan
324;Usuels;51;Code du travail 2011;
325;Nouveauté;51;Saga parisienne. 1. 1942-1958, un balcon sur le Luxembourg;Schlesser, Gilles
326;Nouveauté;51;Les neuf dragons : une enquête de Harry Bosch : roman;Connelly, Michael
327;Nouveauté;51;Monsieur le Commandant;Slocombe, Romain
328;Livre adulte;51;Paris pas cher 2012;Riou, Anne
329;Livre jeunesse;51;Vroum ! Vroum !;Delebecque, François
330;Livre jeunesse;51;La pyramide rouge [Texte imprimé];Riordan, Rick
331;Livre jeunesse;51;Rose et la maison du magicien;Webb, Holly
332;Nouveauté;51;Supplément à la vie de Barbara Loden;Léger, Nathalie
333;Bande dessinée adulte;51;MetaMaus [Multimédia multisupport] : un nouveau regard sur Maus, un classique des temps modernes;Spiegelman, Art
334;DVD >  12 ans;51;Un prophète [Images animées];
335;;51;L'impétueux : tourments, tourmentes, crises et tempêtes;Nay, Catherine
336;Livre adulte;50;Les mots sont des fenetres (ou bien ce sont des murs) [Texte imprimé] : introduction à la communication non violente;Rosenberg, Marshall B.
337;Livre adulte;50;L'étranger [Texte imprimé];Camus, Albert
338;Bande dessinée jeunesse;50;Griffes et plumes [Texte imprimé];Sobral, Patrick
339;Livre jeunesse;50;Journal d'un chat assassin [Texte imprimé];Fine, Anne
340;DVD tous publics;50;Harry Potter et le prisonnier d'Azkaban [Images animées];Cuaron, Alfonso
341;Livre adulte;50;Sur la route [Texte imprimé];Kerouac, Jack
342;Livre jeunesse;50;A la dérive;Muchamore, Robert
343;Livre adulte;50;Les chaussures italiennes : roman;Mankell, Henning
344;Livre adulte;50;Le métier de bibliothécaire;
345;Livre jeunesse;50;L'évasion;Muchamore, Robert
346;Livre adulte;50;Sur la route : le rouleau original;Kerouac, Jack
347;Nouveauté;50;Même le silence a une fin;Betancourt, Ingrid
348;Nouveauté;50;Absolument dé-bor-dée ! ou Le paradoxe du fonctionnaire;Shepard, Zoé
349;Livre ado;50;Evernight. 1;Gray, Claudia
350;Bande dessinée adulte;50;L'apocalypse selon saint Jacky;Larcenet, Manu
351;Livre ado;50;Journal d'un vampire. 5;Smith, Lisa Jane
352;;50;La couleur des sentiments;Stockett, Kathryn
353;DVD tous publics;50;Harry Potter et les reliques de la mort [Images animées];
354;Livre jeunesse;50;Tara Duncan contre la reine noire;Audouin-Mamikonian, Sophie
355;;50;Demain, j'arrête;Legardinier, Gilles
356;Bande dessinée adulte;50;L'odeur de la poussière chaude;Peeters, Frederik
357;Bande dessinée adulte;50;Habibi;Thompson, Craig
358;Livre adulte;50;Châteaux de la Loire : + Touraine : 2012;Gloaguen, Philippe
359;DVD tous publics;50;Captain America [Images animées] : The first avenger : The first Avenger;
360;Livre jeunesse;49;Les Misérables [Texte imprimé];Hugo, Victor
361;Livre adulte;49;Edward Hopper [Texte imprimé];
362;Livre adulte;49;Berthe Morisot [Texte imprimé] : le secret de la femme en noir;Bona, Dominique
363;Livre adulte;49;L'ombre du vent [Texte imprimé] : roman;Ruiz Zafòn, Carlos
364;Livre adulte;49;Ne tirez pas sur l'oiseau moqueur [Texte imprimé] : roman;Lee, Harper
365;Livre adulte;49;Le parfum [Texte imprimé] : histoire d'un meurtrier;Süskind, Patrick
366;Bande dessinée adulte;49;Aya de Yopougon. 4 [Texte imprimé];Abouet, Marguerite
367;Livre adulte;49;Amsterdam et ses environs : 2011 : + Rotterdam, Delft et La Haye;Gloaguen, Philippe
368;Bande dessinée adulte;49;Les vacances de Jésus et Bouddha;Hikaru, Nakamura
369;Livre jeunesse;49;Le héros perdu;Riordan, Rick
370;Livre adulte;49;Le passager;Grangé, Jean-Christophe
371;Nouveauté;49;Rue Darwin;Sansal, Boualem
372;Nouveauté;49;Kampuchéa : roman;Deville, Patrick
373;DVD tous publics;49;La Piel que habito [Images animées];
374;Bande dessinée jeunesse;49;Le bal de printemps [Texte imprimé];Algésiras
375;Nouveauté;49;Le chapeau de Mitterrand;Laurain, Antoine
376;Nouveauté;49;Rue des voleurs;Énard, Mathias
377;Livre adulte;48;L'ami retrouvé [Texte imprimé];Uhlman, Fred
378;Livre adulte;48;Les yeux jaunes des crocodiles [Texte imprimé] : roman;Pancol, Katherine
379;Livre adulte;48;Canaries [Texte imprimé];Andrews, Sarah
380;Livre jeunesse;48;Louison et Monsieur Molière [Texte imprimé];Helgerson, Marie-Christine
381;Livre jeunesse;48;Un air de famille [Texte imprimé];Cazenove
382;Livre jeunesse;48;La mer des monstres [Texte imprimé];Riordan, Rick
383;Livre jeunesse;48;Clair de lune;Hunter, Erin
384;Livre adulte;48;La terre des mensonges : roman [Texte imprimé];Ragde, Anne Birkefeldt
